2025-08-25 09:44:29 | RSUFusion.VisualizationProcess | DEBUG    | run_phase1.py:346 | Visualization: 53.2 FPS
2025-08-25 09:44:29 | RSUFusion.Track | DEBUG    | sort_tracker.py:100 | Updated track 3 with car at (537.2, 100.5)
2025-08-25 09:44:29 | RSUFusion.Track | DEBUG    | sort_tracker.py:100 | Updated track 3 with car at (537.2, 100.5)
2025-08-25 09:44:29 | RSUFusion.Track | DEBUG    | sort_tracker.py:100 | Updated track 3 with car at (537.2, 100.5)
2025-08-25 09:44:29 | RSUFusion.Track | DEBUG    | sort_tracker.py:100 | Updated track 3 with car at (537.2, 100.5)
2025-08-25 09:44:29 | RSUFusion.Track | DEBUG    | sort_tracker.py:100 | Updated track 3 with car at (537.2, 100.6)
2025-08-25 09:44:29 | RSUFusion.VisualizationProcess | DEBUG    | run_phase1.py:346 | Visualization: 54.7 FPS
2025-08-25 09:44:30 | RSUFusion.Track | DEBUG    | sort_tracker.py:100 | Updated track 3 with car at (537.2, 100.5)
2025-08-25 09:44:30 | RSUFusion.Track | DEBUG    | sort_tracker.py:100 | Updated track 3 with car at (537.2, 100.5)
2025-08-25 09:44:30 | RSUFusion.Track | DEBUG    | sort_tracker.py:100 | Updated track 3 with car at (537.2, 100.5)
2025-08-25 09:44:30 | RSUFusion.Track | DEBUG    | sort_tracker.py:100 | Updated track 3 with car at (537.2, 100.5)
2025-08-25 09:44:30 | RSUFusion.Track | DEBUG    | sort_tracker.py:100 | Updated track 3 with car at (537.2, 100.5)
2025-08-25 09:44:30 | RSUFusion.VisualizationProcess | DEBUG    | run_phase1.py:346 | Visualization: 53.7 FPS
2025-08-25 09:44:30 | RSUFusion.Track | DEBUG    | sort_tracker.py:100 | Updated track 3 with car at (537.3, 100.5)
2025-08-25 09:44:30 | RSUFusion.Track | DEBUG    | sort_tracker.py:100 | Updated track 3 with car at (537.2, 100.5)
2025-08-25 09:44:30 | RSUFusion.YOLODetector | DEBUG    | yolo_detector.py:155 | Detection performance: 55.9 FPS, 1 objects detected
2025-08-25 09:44:30 | RSUFusion.DetectionProcess | DEBUG    | run_phase1.py:198 | Detection: 56.2 FPS, 63 detections processed
2025-08-25 09:44:30 | RSUFusion.Track | DEBUG    | sort_tracker.py:100 | Updated track 3 with car at (537.2, 100.5)
2025-08-25 09:44:30 | RSUFusion.SORTTracker | DEBUG    | sort_tracker.py:208 | SORT performance: 0.5ms/frame, 1 confirmed tracks
2025-08-25 09:44:30 | RSUFusion.TrackingProcess | DEBUG    | run_phase1.py:268 | Tracking: 1 confirmed tracks
2025-08-25 09:44:30 | RSUFusion.Track | DEBUG    | sort_tracker.py:100 | Updated track 3 with car at (537.2, 100.5)
2025-08-25 09:44:31 | RSUFusion.Track | DEBUG    | sort_tracker.py:100 | Updated track 3 with car at (537.2, 100.5)
2025-08-25 09:44:31 | RSUFusion.VisualizationProcess | DEBUG    | run_phase1.py:346 | Visualization: 52.2 FPS
2025-08-25 09:44:31 | RSUFusion.Track | DEBUG    | sort_tracker.py:100 | Updated track 3 with car at (537.3, 100.5)
2025-08-25 09:44:31 | RSUFusion.Track | DEBUG    | sort_tracker.py:100 | Updated track 3 with car at (537.2, 100.5)
2025-08-25 09:44:31 | RSUFusion.Track | DEBUG    | sort_tracker.py:100 | Updated track 3 with car at (537.2, 100.6)
2025-08-25 09:44:31 | RSUFusion.Track | DEBUG    | sort_tracker.py:100 | Updated track 3 with car at (537.3, 100.7)
2025-08-25 09:44:31 | RSUFusion.Track | DEBUG    | sort_tracker.py:100 | Updated track 3 with car at (537.2, 100.7)
2025-08-25 09:44:31 | RSUFusion.Track | DEBUG    | sort_tracker.py:100 | Updated track 3 with car at (537.2, 100.6)
2025-08-25 09:44:31 | RSUFusion.VisualizationProcess | DEBUG    | run_phase1.py:346 | Visualization: 52.0 FPS
2025-08-25 09:44:31 | RSUFusion.Track | DEBUG    | sort_tracker.py:100 | Updated track 3 with car at (537.2, 100.5)
2025-08-25 09:44:31 | RSUFusion.Track | DEBUG    | sort_tracker.py:100 | Updated track 3 with car at (537.1, 100.6)
2025-08-25 09:44:31 | RSUFusion.Track | DEBUG    | sort_tracker.py:100 | Updated track 3 with car at (537.1, 100.6)
2025-08-25 09:44:32 | RSUFusion.Track | DEBUG    | sort_tracker.py:100 | Updated track 3 with car at (537.2, 100.6)
2025-08-25 09:44:32 | RSUFusion.Track | DEBUG    | sort_tracker.py:100 | Updated track 3 with car at (537.1, 100.7)
2025-08-25 09:44:32 | RSUFusion.VisualizationProcess | DEBUG    | run_phase1.py:346 | Visualization: 52.0 FPS
2025-08-25 09:44:32 | RSUFusion.Track | DEBUG    | sort_tracker.py:100 | Updated track 3 with car at (537.2, 100.7)
2025-08-25 09:44:32 | RSUFusion.CameraProcess | DEBUG    | run_phase1.py:146 | Ambulance speed: 0.0 km/h
2025-08-25 09:44:32 | RSUFusion.Track | DEBUG    | sort_tracker.py:100 | Updated track 3 with car at (537.1, 100.7)
2025-08-25 09:44:32 | RSUFusion.Track | DEBUG    | sort_tracker.py:100 | Updated track 3 with car at (537.1, 100.7)
2025-08-25 09:44:32 | RSUFusion.Track | DEBUG    | sort_tracker.py:100 | Updated track 3 with car at (537.1, 100.6)
2025-08-25 09:44:32 | RSUFusion.Track | DEBUG    | sort_tracker.py:100 | Updated track 3 with car at (537.1, 100.6)
2025-08-25 09:44:32 | RSUFusion.Track | DEBUG    | sort_tracker.py:100 | Updated track 3 with car at (537.1, 100.6)
2025-08-25 09:44:32 | RSUFusion.VisualizationProcess | DEBUG    | run_phase1.py:346 | Visualization: 52.5 FPS
2025-08-25 09:44:32 | RSUFusion.Track | DEBUG    | sort_tracker.py:100 | Updated track 3 with car at (537.1, 100.7)
2025-08-25 09:44:33 | RSUFusion.Track | DEBUG    | sort_tracker.py:100 | Updated track 3 with car at (537.0, 100.7)
